ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched
1016,Rodger Riney & family,3578122338,-2.1558075,0.84362274,-0.6015664,Discount brokerage,finance,254/437/635/121/19,80,Discount brokerage/ Self Made,2,7,United States,Married,3,Charles Schwab/J. Joe Ricketts & family/Peggy Cherng/Stanley Kroenke/Thomas Peterffy
1017,Herbert Wertheim,3578122338,-0.8049552,0.5189801,0.17939141,Investments,investment/finance,67/3/394/1/1574/13,86,Investments/ Self Made,2,10,United States,Divorced,2,Eduardo Saverin/Jeff Bezos/Jeff Greene/Larry Page/Reid Hoffman/Steve Ballmer
1018,Miguel Fluxa Rossello,3578122338,1.6974562,0.40165693,-0.38828677,Hotels,Hotels,3298/1411/3033/2982/3027,87,Hotels,,,Spain,Married,2,Bruce Mathieson/Choo Chong Ngen/Gary Tharaldson/Michael Kum/William Heinecke
1019,David MacNeil,3578122338,-1.3952962,0.23563144,0.69273126,Automobile accessories,automotive,,67,Automobile accessories/ Self Made,,,United States,Married,3,
1020,Daniel Mate,3578122338,0.03581863,0.76608247,1.1515629,Mining  commodities,mining/materials,1565/950/791/210/1423,62,Mining/ commodities/ Self Made,,,Spain,Married,2,Alex Beard/Aristotelis Mistakidis/Bulat Utemuratov/Ivan Glasenberg/Tor Peterson
1021,Chairul Tanjung,3578122338,0.65104324,-0.36139914,-0.48499513,Diversified,Diversified,285/3110/36/20,63,Diversified/ Self Made,,,Indonesia,Married,2,Anthoni Salim/Hartati Murdaya/Li Ka-shing/Mukesh Ambani
1022,Du Jiangtao & family,3578122338,0.7115598,0.6108332,-0.021746933,Chemicals,Chemicals,1319/123/1881/2735/1212,56,Chemicals/ Self Made,,,China,Married,,Arun Bharat Ram/Chen Jianhua/Lee Dong-chae/Soegiarto Adikoesoemo/Vivek Jain
1023,Danielle Bellon & family,3578122338,-0.14407149,0.98987544,1.3829962,Food services,food/beverages,,86,Food services,,,France,Widowed,4,
1024,Meg Whitman,3578122338,-1.0415504,0.92604756,-0.833594,EBay,EBay,777/255,69,EBay/ Self Made,2,6,United States,Married,2,Jeff Skoll/Pierre Omidyar
1025,Fu Liquan,3578122338,1.0939101,1.6528599,-1.0196259,Surveillance equipment,Surveillance equipment,65/722/278/317/3161,58,Surveillance equipment/ Self Made,,,China,Married,1,Colin Huang/Hu Baifan/Liang Wenfeng/Yi Zheng/Zhu Jiangming
1026,Brian Venturo,3578122338,-0.43309355,0.36527726,0.27346337,Technology,Technology,1590/1408/1972/370/1024/573/3088,41,Technology/ Self Made,1,8,United States,,,Anthony Hall/Brannin McBee/Jack Cogen/Les Wexner & family/Meg Whitman/Michael Intrator/Peter Salanki
1027,Daniel Och,3578122338,-0.94601834,0.5759961,0.03568138,Hedge funds,hedge funds/finance,3139/115/452/34/70/120,65,Hedge funds/ Self Made,3,7,United States,Married,3,Anne Dinning/David Tepper/John Overdeck/Ken Griffin/Marilyn Simons & family/Steve Cohen
1028,Rajiv Jain,3578122338,-1.4860532,0.3310492,-0.042194456,Finance,finance,498/414,58,Finance/ Self Made,1,8,United States,,,Cho Jung-ho/Jean Salata
1029,Luciano Benetton,3578122338,-0.14820321,0.4875514,1.0635736,Fashion retail  investments,ai/software/retail/luxury/fashion/investment/finance,2855/2214/1030/1869,91,Fashion retail/ investments/ Self Made,,,Italy,Married,4,Antonio Percassi/Barbara Benetton/Giuliana Benetton/Sabrina Benetton
1030,Giuliana Benetton,3578122338,-0.19998412,0.6710603,0.91378856,Fashion retail  investments,ai/software/retail/luxury/fashion/investment/finance,2214/1029/1869,88,Fashion retail/ investments/ Self Made,,,Italy,Widowed,4,Barbara Benetton/Luciano Benetton/Sabrina Benetton
1031,William Conway Jr,3578122338,-1.4108875,1.4571753,0.15465468,Private equity,investment/finance,1406/894/1013/336/335,76,Private equity/ Self Made,4,8,United States,Married,1,Alberto Palatchi/Daniel D'Aniello/David Rubenstein/Michael Kim/Robert F. Smith
1032,Kavitark Ram Shriram,3578122338,-0.42724338,0.67594767,-0.41798657,Google  venture capital,internet/ai/advertising/investment/finance,109/1/2/199,69,Google/ venture capital/ Self Made,2,10,United States,Married,2,John Doerr/Larry Page/Sergey Brin/Vinod Khosla
1033,Erik Selin,3578122338,-1.2234902,0.5827535,-0.46648794,Real estate,real estate,2492/114/1111/1966,59,Real estate/ Self Made,,,Sweden,Divorced,,David Mindus/Harry Triguboff/Kwek Leng Beng/Manuel Villar
1034,Nancy Mills Barnett,3578122338,-0.63158107,0.8903852,0.3304064,Medical supplies,healthcare/pharmaceuticals,813/309/1158/954,62,Medical supplies,,,United States,,,Andy Mills/Charlie Mills/Margaret Baker/Wendy Abrams
1035,Martin Bouygues,3578122338,0.24237747,0.38165617,0.5461999,Construction  media,media/entertainment/construction/materials,,,,,,,,,
1036,Falguni Nayar,3492928949,1.1954898,0.6665699,0.14880395,Retailing,ai/software/retail,2597/1520/601,63,Retailing/ Self Made,,,India,Married,2,Alan Wilson/Harindarpal Banga/Lee Thiam Wah
1037,Todd Wanek,3492928949,-1.4469123,0.33470717,0.63659436,Furniture,Furniture,1467/589/1993/1280,62,Furniture,2,4,United States,Married,2,Gu Yuhua & family/Ronald Wanek/Wong Man Li/Yao Liangsong
1038,Fang Wei,3492928949,0.9990891,0.8312508,-1.1637433,Steel,mining/materials,1183/80/1403/56/371,52,Steel/ Self Made,,,China,Married,,Barry Zekelman/Lakshmi Mittal/Rufino Vigil Gonzalez/Savitri Jindal & family/Viktor Rashnikov
1039,Roger Samuelsson,3492928949,1.5846559,0.8887484,0.6999817,Drug delivery devices,Drug delivery devices,,62,Drug delivery devices/ Self Made,,,Sweden,,,
1040,Richard Schulze,3492928949,-1.5344522,0.22260448,0.44643703,Best Buy,Best Buy,,85,Best Buy/ Self Made,3,8,United States,Widowed/ Remarried,10,
1041,Lam Wai-ying,3492928949,1.1559457,0.28820175,-0.068303674,Smartphone screens,Smartphone screens,197,68,Smartphone screens/ Self Made,,,Hong Kong,Married,3,Zhou Qunfei & family
1042,Weili Dai,3492928949,-0.94419694,1.0777838,0.033661038,Semiconductors,semiconductors/hardware,50/6/454/1577/260/1559,64,Semiconductors/ Self Made,,8,United States,Widowed,2,Henry Samueli/Jensen Huang/Kwak Dong Shin/Lisa Su/Mark Stevens/Zhang Xingang
1043,Nguyen Thi Phuong Thao,3492928949,2.1743412,0.24623372,0.11109322,Airlines,ai/software,1960,55,Airlines/ Self Made,,,Vietnam,Married,4,Vladislav Filev & family
1044,Tung Chee Chen,3492928949,1.4983535,0.28462574,-1.0197891,Shipping,logistics/shipping,43/59/48/44,83,Shipping,,,Hong Kong,Married,2,Gianluigi Aponte/Idan Ofer/Klaus-Michael Kuehne/Rafaela Aponte-Diamant
1045,Otto Happel,3492928949,-0.4700493,0.39942107,0.17512518,Engineering,construction/materials,1216/910/1832/1179/1126,78,Engineering,,,Germany,Married,6,Anu Aga/Baba Kalyani/Bhadresh Shah/Fabrizio Di Amato/Wolfgang Leitner
1046,Antti Herlin,3492928949,0.3081724,0.4248266,-0.6348735,Elevators  escalators,Elevators/escalators,1953/2033/2155,69,Elevators/ escalators,,,Finland,Married,4,Heikki Herlin/Ilkka Herlin/Ilona Herlin
1047,Ivar Tollefsen,3492928949,-0.3310933,1.135912,0.9211842,Real estate,real estate,114/1111/1966,64,Real estate/ Self Made,,,Norway,,,Harry Triguboff/Kwek Leng Beng/Manuel Villar
1048,Paul Gauselmann & family,3492928949,0.4683534,0.6371302,0.7535562,Gambling,gambling/entertainment,299,91,Gambling/ Self Made,,,Germany,Married,4,Johann Graf
1049,Wu Kai,3492928949,0.5001347,0.22377361,-0.20152016,Batteries,batteries/energy storage,77/147/29/119,58,Batteries/ Self Made,,,China,,,Huang Shilin/Pei Zhenhua/Robin Zeng/Yu Yong
1050,Clive Palmer,3492928949,0.7673297,0.99989164,-0.7362915,Mining,mining/materials,129/971/95/1118/1334,72,Mining/ Self Made,,,Australia,Married,3,Andrew Forrest & family/Angela Bennett/Gina Rinehart/Patrice Motsepe/Robert Friedland
1051,Hans Georg Naeder & family,3492928949,0.45335764,1.2789975,0.41948646,Prosthetics,Prosthetics,,64,Prosthetics,,,Germany,Divorced,2,
1052,Renzo Rosso & family,3492928949,0.28210774,1.0070423,0.41621742,Fashion,luxury/fashion/retail,1175/1675,70,Fashion/ Self Made,,,Italy,Divorced,7,Brunello Cucinelli & family/Tom Ford
1053,Harsh Mariwala,3492928949,1.4772996,1.1886725,1.2077115,Consumer goods,Consumer goods,2651/1053,75,Consumer goods,,,India,Married,2,Chirayu Amin/Harsh Mariwala
1054,Paul-Heinz Wesjohann & family,3492928949,0.875131,0.47276473,0.45209306,Chicken processing,Chicken processing,,82,Chicken processing/ Self Made,,,Germany,Married,4,
1055,Todd Christopher,3492928949,1.180727,0.11668536,0.25210738,Hair care products,ai/software,,63,Hair care products/ Self Made,1,9,United States,Married,,
1056,Tomasz Biernacki,3492928949,0.39141673,1.1942935,1.1651583,Supermarkets,retail,293/2003/159/1380,53,Supermarkets/ Self Made,,,Poland,,,Charles Butt/Djoko Susanto/Karl Albrecht Jr. & family/Lin Ming-hsiung
1057,Olivier Bouygues,3492928949,0.29132956,0.5532392,0.32010642,Construction  media,media/entertainment/construction/materials,1035,75,Construction/ media,,,France,Married,1,Martin Bouygues
1058,Nirmal Minda,3492928949,0.5915004,0.38638097,-0.1030408,Auto parts,Auto parts,1933/1600/2104/2792/599/320,68,Auto parts,,,India,Married,2,Anurang Jain/Chin Jong Hwa/Joseph 'Pitt' Reeves Hyde III/Shrikant Badve/Vivek Chaand Sehgal/Wu Jianshu
1059,Yakir Gabay,3492928949,-1.3563482,0.6460091,-0.13955513,Real estate,real estate,355/114/1111/1966,60,Real estate/ Self Made,,,Cyprus,,,Georg Stumpf/Harry Triguboff/Kwek Leng Beng/Manuel Villar
1060,Samvel Karapetyan,3492928949,0.5531834,1.2112483,0.4808162,Real estate,real estate,114/1111/1966,60,Real estate/ Self Made,,,Russia,Married,3,Harry Triguboff/Kwek Leng Beng/Manuel Villar
1061,Angelo Koo,3492928949,1.2450064,0.41334522,-0.6698301,Finance,finance,498/414,60,Finance,,,Taiwan,Married,,Cho Jung-ho/Jean Salata
1062,Charles Zegar,3492928949,-0.386885,0.50508314,-0.0787487,Bloomberg LP,financial data/media,2272/17/730,78,Bloomberg LP/ Self Made,2,9,United States,Married,,Duncan MacMillan/Michael Bloomberg/Thomas Secunda
1063,Bob Parsons,3492928949,-1.6365179,1.7933592,0.066168904,Web hosting,Web hosting,,75,Web hosting/ Self Made,3,10,United States,Married,,
1064,David Wertheim,3492928949,0.43694094,0.8774202,0.8893861,Coca-Cola Israel,Coca-Cola Israel,1823/62/1099,68,Coca-Cola Israel,,,Israel,Married,6,Drorit Wertheim/Eyal Ofer/Liora Ofer
1065,Alejandro Santo Domingo,3492928949,-0.81844014,1.0499518,0.30529562,Beer,Beer,1990/921/2866/2985,49,Beer,1,3,United States,Married,,Andres Santo Domingo/Beatriz Davila de Santo Domingo/Jim Koch/Vera Rechulski Santo Domingo
1066,Robert Johnson & family,3492928949,-1.29326,0.51710796,0.74735373,Johnson & Johnson  New York Jets,ai/software/media/entertainment,3/4/69/1024,80,Black Entertainment Television/ Self Made,,,United States,Divorced,2,Jeff Bezos/Larry Ellison/MacKenzie Scott/Meg Whitman
1067,John Paulson,3407735560,-0.69719285,0.9014784,-0.0017378777,Hedge funds,hedge funds/finance,115/201/34/120,70,Hedge funds/ Self Made,4,8,United States,Separated,2,David Tepper/Jaime Gilinski Bacal/Ken Griffin/Steve Cohen
1068,David Blitzer,3407735560,-0.6033607,1.001241,0.30081964,Sports,logistics/shipping/sports/entertainment,731/1358/2392/2391/2393/1529/1592,56,Sports/ Self Made,,,United States,Married,5,John Henry/William Chisholm/Hal Steinbrenner/Jennifer Steinbrenner Swindal/Jessica Steinbrenner/Larry Tanenbaum/Toto Wolff
1069,Li Liangbin,3407735560,1.0965347,1.3438599,-0.9290701,Lithium,Lithium,2652,58,Lithium/ Self Made,,,China,,,Wang Xiaoshen
1070,Patrizio Bertelli,3407735560,0.11021123,0.5768178,0.50246286,Luxury goods,social media/luxury/fashion/retail,2291/185/2292/1073,80,Luxury goods/ Self Made,,,Italy,Married,2,Alberto Prada/Johann Rupert & family/Marina Prada/Miuccia Prada
1071,Mohamed Mansour,3407735560,-0.6325388,0.5034609,-0.020792745,Diversified,Diversified,20/2829/2284,78,Diversified/ Self Made,,,Egypt,Married,2,Mukesh Ambani/Yasseen Mansour/Youssef Mansour
1072,Ugur Sahin,3407735560,0.18552458,0.53623265,0.23200881,Biotechnology,healthcare/pharmaceuticals,291/638/2620/292,60,Biotechnology/ Self Made,,,Germany,Married,,Andreas Struengmann & family/Dietmar Hopp & family/Lou Jing & family/Thomas Struengmann & family
1073,Miuccia Prada,3407735560,0.33587915,0.5543854,0.48905048,Luxury goods,social media/luxury/fashion/retail,2291/185/2292/1070,77,Luxury goods,,,Italy,Married,2,Alberto Prada/Johann Rupert & family/Marina Prada/Patrizio Bertelli
1074,Otto Philipp Braun,3407735560,0.29555127,0.8931066,0.56359106,Medical technology,healthcare/pharmaceuticals,2319/2021/2022/2023/2320/2321/2449,48,Medical technology,,,Germany,,,Anna Maria Braun/Bernhard Braun-Luedicke/Eva Maria Braun-Luedicke/Friederike Braun-Luedicke/Johanna Braun/Karl Friedrich Braun/Ludwig Theodor Braun
1075,Zhao Fenggang,3407735560,0.52533585,0.25814885,-0.121966615,Batteries,batteries/energy storage,77/147/29/119,60,Batteries/ Self Made,,,China,,,Huang Shilin/Pei Zhenhua/Robin Zeng/Yu Yong
1076,Yang Weidong & family,3407735560,0.5190987,0.3420791,-0.6691332,Chemicals,Chemicals,,,,,,,,,
1077,Han Arming Hanafia,3407735560,1.328219,-0.39360583,0.077304095,Data centers,Data centers,285/675/416/3088,70,Data centers/ Self Made,,,Indonesia,,,Anthoni Salim/Marina Budiman/Otto Toto Sugiri/Peter Salanki
1078,Jim Davis,3407735560,-0.4788033,0.34638503,0.021970525,Staffing & recruiting,New Balance,2690/105/2306,83,New Balance/ Self Made,2,8,United States,Married,2,Paul Fireman/Phil Knight & family/Timothy Boyle
1079,Hilton Schlosberg & family,3407735560,-1.0405445,1.2309232,-0.6762764,Energy drinks,energy/oil and gas,727/1349/789/1426,73,Energy drinks/ Self Made,,,United Kingdom,,,Don Vultaggio & family/Rodney Sacks & family/Russell Savage/Sathien Sathientham
1080,Norman Braman,3407735560,-2.0397081,0.6866409,-0.34114465,Art  car dealerships,Art/car dealerships,2150/2339/676/1249/2542,93,Art/ car dealerships/ Self Made,2,9,United States,Married,2,David Paul/Gary Michelson/Mitchell Morgan & family/Mitchell Rales/Sidney Kimmel
1081,Norbert Dentressangle & family,3407735560,0.7674233,1.329352,1.5275428,Transport  logistics,logistics/shipping,,71,Transport/ logistics/ Self Made,,,France,Married,2,
1082,David Nahmad,3407735560,0.7412061,0.95182955,1.85526,Art collection,Art collection,1508,79,Art collection/ Self Made,,,Monaco,Married,3,Philip Niarchos
1083,Sunny Varkey,3407735560,1.0084778,1.0191181,1.1618075,Education,Education,1615/2377/2127/2988/1878,69,Education,,,India,Married,2,Bertil Hult/Michael Minhong Yu/Peter Sperling/Xu Wanmao/Zhang Bangxin
1084,Jack Link & family,3407735560,-1.1177263,0.46626925,-0.39166084,Jack Link's meat snacks,Jack Link's meat snacks,,80,Jack Link's meat snacks/ Self Made,,8,United States,Married,2,
1085,Nadir Godrej,3407735560,1.9332701,0.7040451,0.29597574,Consumer goods  real estate,real estate,1100/843/1844/844,75,Consumer goods/ real estate,,,India,Married,3,Adi Godrej/Jamshyd Godrej/Rishad Naoroji/Smita Crishna Godrej
1086,Neal Aronson,3407735560,-1.6520842,1.0892254,0.49908817,Private equity,investment/finance,1655/1830/2300/303/336/335/2874/1358,61,Private equity/ Self Made,,7,United States,Married,2,Adebayo Ogunlesi/David Grain/Gerry Cardinale/Josh Harris/Michael Kim/Robert F. Smith/Stefan Kaluzny/William Chisholm
1087,Edward DeBartolo Jr,3407735560,-1.0434085,1.1109833,0.20408228,Shopping centers,Shopping centers,418/592/394/1604/214,79,Shopping centers,2,5,United States,Married,3,Denise York & family/Herb Simon/Jeff Greene/Jorge Perez/Robert Kraft
1088,Marc Lore,3407735560,-0.81229293,0.40574068,0.052972548,Jet.com,Jet.com,12/9/37/2649/8,55,Jet.com/ Self Made,1,9,United States,,,Alice Walton/Jim Walton & family/Lukas Walton/Marissa Mayer/Rob Walton & family
1089,Reinold Geiger,3407735560,-0.41039154,0.9791662,1.6761544,Beauty products,Beauty products,,78,Beauty products/ Self Made,,,Austria,Married,,
1090,Catharina Claas-Muhlhauser,3407735560,0.23363632,1.3290932,1.219541,Agricultural Machinery,Agricultural Machinery,2406/2407,51,Agricultural Machinery,,,Germany,Married,3,Christian Dreyer/Justus Dreyer
1091,Ray Davis,3407735560,-1.421895,1.6226214,-0.9349557,Pipelines,Pipelines,319/445/315/2054/242,84,Pipelines/ Self Made,2,8,United States,Married,3,Dannine Avara/Kelcy Warren/Randa Duncan Williams/Randal J. Kirk/Richard Kinder
1092,Stewart Horejsi & family,3322542171,-1.1052067,1.3344646,-0.66328615,Berkshire Hathaway,finance/investment/insurance,1256/18/1255/1254/11,88,Berkshire Hathaway/ Self Made,2,8,United States,Divorced,2,Bill Alfond/Bill Gates/Susan Alfond/Ted Alfond/Warren Buffett
1093,Thomas Siebel,3322542171,-0.7789592,0.7688249,-1.137733,Business software,software/cloud,435/505/2062/1751,73,Business software/ Self Made,4,8,United States,Married,4,David Duffield/Marc Benioff/Radha Vembu/Wang Wenjing
1094,Dan Olsson,3322542171,0.0678757,0.6971535,0.38549256,Diversified,Diversified,36/3046/20/1593,79,Diversified,,,Sweden,Married,,Li Ka-shing/Madeleine Olsson Eriksson/Mukesh Ambani/Stefan Olsson
1095,Wang Junmin,3322542171,0.6663578,0.54429144,0.13507758,Pharmaceuticals,healthcare/pharmaceuticals,1128/94/1877/455/2743/139,57,Pharmaceuticals/ Self Made,,,China,Married,,Dennis Bastas/Dilip Shanghvi/Fan Xiulian/Pankaj Patel/Zheng Wei/Zhong Huijuan
1096,Niels Peter Louis-Hansen,3322542171,1.0638055,0.36290944,-0.01910019,Medical devices,healthcare/pharmaceuticals,341/329/576,78,Medical devices,,,Denmark,Married,1,Carl Cook/Li Xiting/Xu Hang
1097,Ronald McAulay,3322542171,1.3345047,0.85596657,-0.68546164,Energy,energy/oil and gas,494/172/3288,90,Energy,,,Hong Kong,Married,2,Michael Kadoorie/Sarath Ratanavadi/William Fung
1098,Patrick Lee,3322542171,1.5767876,0.8503164,-1.5532963,Paper,Paper,2603,84,Paper/ Self Made,,,Hong Kong,Married,5,Liu Ming Chung
1099,Liora Ofer,3322542171,-0.7144368,0.646653,0.118596904,Investments,investment/finance,1064/1823/62/406,72,Investments,,,Israel,Separated,2,David Wertheim/Drorit Wertheim/Eyal Ofer/Frank Lowy
1100,Adi Godrej,3322542171,1.5301256,0.99717116,1.2596917,Consumer goods,Consumer goods,843/1085/1844/844,84,Consumer goods,,,India,Widowed,3,Jamshyd Godrej/Nadir Godrej/Rishad Naoroji/Smita Crishna Godrej
1101,Jed McCaleb,3322542171,-0.7732161,1.0452654,-0.7316283,Cryptocurrency,cryptocurrency/fintech,345/249/22/54/783/55/107,51,Cryptocurrency/ Self Made,,9,United States,,,Brian Armstrong/Chris Larsen/Giancarlo Devasini/Jean-Louis van der Velde/Michael Saylor/Paolo Ardoino/Stuart Hoegner
1102,Jonathan Kwok,3322542171,1.1412697,0.28806502,-0.8787335,Real Estate,real estate,136,34,Real Estate,,,Hong Kong,,,Kwong Siu-hing
1103,Geoffrey Kwok,3322542171,1.1779416,0.3833742,-0.70164126,Real estate,real estate,136,41,Real estate,,,Hong Kong,Single,,Kwong Siu-hing
1104,Song Zuowen,3322542171,1.2549739,1.4167928,-0.9997684,Aluminum  diversified,mining/materials,,79,Aluminum/ diversified/ Self Made,,,China,Married,2,
1105,Niva Gurevitch,3322542171,1.2104378,0.16986308,-1.1093051,FInancial Services,finance,746/1763/2024/1106,54,FInancial Services,,,Israel,,,Andre Koo/Jannie Mouton & family/Michael Heine/Tali Griffel
1106,Tali Griffel,3322542171,0.18212077,0.41668004,0.41409543,Financial Services,finance,746/1763/2024/1105,40,Financial Services,,,Israel,,,Andre Koo/Jannie Mouton & family/Michael Heine/Niva Gurevitch
1107,Ge Weidong,3322542171,1.6488017,0.55796605,-0.49176502,Investment,investment/finance,656/1566/1751/1503,57,Investment/ Self Made,,,Hong Kong,,,Chen Weiliang/Michael Hintze/Wang Wenjing/Zhu Yiming
1108,P.N.C. Menon,3322542171,0.69603974,1.014905,0.8836714,Real estate,real estate,1100/114/1111/1085,77,Real estate/ Self Made,,,Oman,Married,3,Adi Godrej/Harry Triguboff/Kwek Leng Beng/Nadir Godrej
1109,Stephen Jarislowsky,3322542171,-0.99358046,0.61434823,0.54114926,Money management,Money management,,100,Money management/ Self Made,,,Canada,Married,3,
1110,Qiu Wensheng,3322542171,0.9992239,1.6949844,-1.219624,Manufacturing,Manufacturing,312/1890/920/533/2015/302,53,Manufacturing/ Self Made,,,China,,,Anthony Pratt/Fiona Geminder/Haryanto Tjiptodihardjo/Horst Julius Pudwill/Yeh Kuo-I/Zhou Chaonan
1111,Kwek Leng Beng,3322542171,0.7787185,0.29626858,-0.14894843,Diversified,Diversified,1514/2526/504/2525,85,Diversified,,,Singapore,Married,2,Kwek Leng Kee/Kwek Leng Peck/Quek Leng Chan/Kwek Leng Keow
1112,José E. Feliciano,3322542171,-1.7146986,0.74473476,-0.8790766,Private equity,investment/finance,1655/1124/1830/336/335,52,Private equity/ Self Made,1,8,United States,Married,,Adebayo Ogunlesi/Behdad Eghbali/David Grain/Michael Kim/Robert F. Smith
1113,Theodore Leonsis,3322542171,-1.0477047,0.55059886,0.08797029,Sports teams,logistics/shipping/sports/entertainment,2606/898/1836/2203/2055,70,Sports teams/ Self Made,1,9,United States,Married,2,Brad Keywell/Eric Lefkofsky/Jerry Reinsdorf/Marc Andreessen/Tom Werner
1114,Amos Hostetter Jr,3322542171,-1.1311426,0.6679346,-0.07907823,Cable television,Cable television,381/661,89,Cable television/ Self Made,5,7,United States,Married,3,David Geffen/Robert Bass
1115,Pham Thu Huong,3322542171,0.7523218,0.3516088,0.013447568,Diversified,Diversified,20/60/1547,56,Diversified/ Self Made,,,Vietnam,Married,3,Mukesh Ambani/Pham Nhat Vuong/Pham Thuy Hang
1116,Martin Ebner,3322542171,-0.10294159,0.47696,0.92956245,Investments,investment/finance,406/933/779/949,80,Investments/ Self Made,,,Switzerland,Married,,Frank Lowy/Michael Pieper/Peter Spuhler/Willy Michel
1117,Mark Shoen,3322542171,-1.5920314,0.96718174,-8.9108944e-05,U-Haul,U-Haul,1312,75,U-Haul,1,5,United States,Married,1,E. Joe Shoen
1118,Patrice Motsepe,3322542171,0.27452913,-0.303172,1.4142829,Mining,mining/materials,129/971/1050/95,64,Mining/ Self Made,,,South Africa,Married,3,Andrew Forrest & family/Angela Bennett/Clive Palmer/Gina Rinehart
1119,Steve Wynn,3322542171,-1.7052975,0.36828098,0.09670849,Casinos  hotels,gambling/entertainment,0/998,84,Casinos/ hotels/ Self Made,1,8,United States,Married,2,Elon Musk/Phil Ruffin
1120,Ron Burkle,3322542171,-1.5609171,0.7794895,0.3492828,Supermarkets  investments,retail/investment/finance,,73,Supermarkets/ investments/ Self Made,1,9,United States,Divorced,3,
1121,Dong Zengping,3322542171,0.9998075,1.3802228,-1.1253188,Electronics,Electronics,184/194/1491/1512/225/187,,Electronics/ Self Made,,,China,,,Barry Lam/Bruce Cheng/Chen Bangdong/Koo Bon-neung/Pierre Chen/Terry Gou
1122,Alceu Elias Feldmann & family,3322542171,-1.0326446,-0.5999639,0.7446312,Fertilizer,Fertilizer,590/980/745,76,Fertilizer/ Self Made,,,Brazil,Married,3,Dmitry Rybolovlev & family/Julio Ponce Lerou/Xiao Yongming & family
1123,Daniel Loeb,3322542171,-0.8261751,0.6706024,0.26769772,Hedge funds,hedge funds/finance,3139/115/452/34/70/120,64,Hedge funds/ Self Made,2,7,United States,Married,,Anne Dinning/David Tepper/John Overdeck/Ken Griffin/Marilyn Simons & family/Steve Cohen
1124,Behdad Eghbali,3322542171,-1.430125,1.2031457,-0.75248957,Private equity,investment/finance,1655/1830/2300/303/1112/336/1358/335/2874,50,Private equity/ Self Made,,8,United States,Married,,Adebayo Ogunlesi/David Grain/Gerry Cardinale/Josh Harris/José E. Feliciano/Michael Kim/William Chisholm/Robert F. Smith/Stefan Kaluzny
1125,Ben Lamm,3322542171,-0.79097605,0.2721913,-0.2930779,biotech,healthcare/pharmaceuticals,1859/3186/2804/487/810/1883/1523,44,biotech/ Self Made,,,United States,Married,2,David Dean Halbert/Maky Zanganeh/Michelle Xia/Seo Jung-jin/Thomas Tull/Yoon Dae-in/Zhao Yan
1126,Wolfgang Leitner,3322542171,0.10851158,0.32448152,0.5749332,Engineering,construction/materials,1216/910/1832/1179/1045,73,Engineering/ Self Made,,,Austria,Married,2,Anu Aga/Baba Kalyani/Bhadresh Shah/Fabrizio Di Amato/Otto Happel
1127,Eduardo Vivas,3237348782,-1.5239433,1.3204956,-0.5025048,Advertising technology,Advertising technology,158/693/575/1471/400,40,Advertising technology/ Self Made,1,9,United States,Married,,Adam Foroughi/Andrew Karam/Hao Tang/John Krystynak/Ling Tang
1128,Dennis Bastas,3237348782,-0.5030298,0.79614145,0.026118815,pharmaceuticals,healthcare/pharmaceuticals,94/337/139/270,59,pharmaceuticals/ Self Made,,,Australia,,,Dilip Shanghvi/Murali Divi & family/Zhong Huijuan/Zhu Yi
1129,Daniel Sundheim,3237348782,-0.9631942,0.621909,-0.056564063,Hedge funds,hedge funds/finance,3139/115/452/34/70/120,49,Hedge funds/ Self Made,1,8,United States,Married,,Anne Dinning/David Tepper/John Overdeck/Ken Griffin/Marilyn Simons & family/Steve Cohen
1130,Najib Mikati,3237348782,0.3063216,0.4477526,1.1712482,Telecom,telecom,15/758/1956/227/1131,70,Telecom/ Self Made,,,Lebanon,Married,3,Carlos Slim Helu & family/Naguib Sawiris/Strive Masiyiwa/Sunil Mittal/Taha Mikati
1131,Taha Mikati,3237348782,0.2739968,0.833575,0.8759633,Telecom,telecom,15/758/1130/1956/227,81,Telecom/ Self Made,,,Lebanon,Married,3,Carlos Slim Helu & family/Naguib Sawiris/Najib Mikati/Strive Masiyiwa/Sunil Mittal
1132,Shi Yuzhu,3237348782,1.8148797,0.7605422,-0.91404146,Online games  investments,investment/finance,86/655/407,63,Online games/ investments/ Self Made,,,China,Divorced,1,Jack Ma/Liu Yonghao & family/Lin Li
1133,Ira Rennert,3237348782,-0.534546,0.75813544,0.39778107,Investments,investment/finance,406/1142/1420/2553,91,Investments/ Self Made,2,8,United States,Married,3,Frank Lowy/James Packer/Richard Chandler/Thaksin Shinawatra
1134,Chan Tan Ching-fen,3237348782,1.2398386,0.6674341,-0.2793782,Real estate,real estate,1637/1242/1337,,Real estate,,,Hong Kong,Widowed,2,Cheng Yixiao/Neil Shen/Su Hua
1135,Feng Hailiang,3237348782,1.0471383,0.6244519,-0.6109209,Copper  education,Copper/education,65/1025/722/908/278/1132/317,65,Copper/ education/ Self Made,,,China,Married,2,Colin Huang/Fu Liquan/Hu Baifan/Li Min/Liang Wenfeng/Shi Yuzhu/Yi Zheng
